file,date,fl_class,label
mdi.fd_M_96m_lev182.19960713_000000_TAI.npz,1996-07-13,,NF
mdi.fd_M_96m_lev182.19960715_000000_TAI.npz,1996-07-15,,NF
mdi.fd_M_96m_lev182.19960716_000000_TAI.npz,1996-07-16,,NF
mdi.fd_M_96m_lev182.19960718_000000_TAI.npz,1996-07-18,,NF
mdi.fd_M_96m_lev182.19960720_000000_TAI.npz,1996-07-20,,NF
mdi.fd_M_96m_lev182.19960721_000000_TAI.npz,1996-07-21,,NF
mdi.fd_M_96m_lev182.19960723_000000_TAI.npz,1996-07-23,,NF
mdi.fd_M_96m_lev182.19960725_000000_TAI.npz,1996-07-25,,NF
mdi.fd_M_96m_lev182.19960727_000000_TAI.npz,1996-07-27,,NF
mdi.fd_M_96m_lev182.19960728_000000_TAI.npz,1996-07-28,,NF
mdi.fd_M_96m_lev182.19960729_000000_TAI.npz,1996-07-29,,NF
mdi.fd_M_96m_lev182.19960730_000000_TAI.npz,1996-07-30,,NF
mdi.fd_M_96m_lev182.19960731_000000_TAI.npz,1996-07-31,B3.9,NF
mdi.fd_M_96m_lev182.19960801_000000_TAI.npz,1996-08-01,B3.1,NF
mdi.fd_M_96m_lev182.19960802_000000_TAI.npz,1996-08-02,B2.8,NF
mdi.fd_M_96m_lev182.19960803_000000_TAI.npz,1996-08-03,B4.8,NF
mdi.fd_M_96m_lev182.19960804_000000_TAI.npz,1996-08-04,B5.4,NF
mdi.fd_M_96m_lev182.19960805_000000_TAI.npz,1996-08-05,B5.5,NF
mdi.fd_M_96m_lev182.19960806_000000_TAI.npz,1996-08-06,C1.5,C
mdi.fd_M_96m_lev182.19960807_000000_TAI.npz,1996-08-07,C1.0,C
mdi.fd_M_96m_lev182.19960808_000000_TAI.npz,1996-08-08,B2.7,NF
mdi.fd_M_96m_lev182.19960809_000000_TAI.npz,1996-08-09,,NF
mdi.fd_M_96m_lev182.19960810_000000_TAI.npz,1996-08-10,B1.7,NF
mdi.fd_M_96m_lev182.19960811_000000_TAI.npz,1996-08-11,,NF
mdi.fd_M_96m_lev182.19960812_000000_TAI.npz,1996-08-12,,NF
mdi.fd_M_96m_lev182.19960813_000000_TAI.npz,1996-08-13,,NF
mdi.fd_M_96m_lev182.19960814_000000_TAI.npz,1996-08-14,,NF
mdi.fd_M_96m_lev182.19960815_000000_TAI.npz,1996-08-15,B1.2,NF
mdi.fd_M_96m_lev182.19960816_000000_TAI.npz,1996-08-16,,NF
mdi.fd_M_96m_lev182.19960817_000000_TAI.npz,1996-08-17,,NF
mdi.fd_M_96m_lev182.19960818_000000_TAI.npz,1996-08-18,,NF
mdi.fd_M_96m_lev182.19960819_000000_TAI.npz,1996-08-19,,NF
mdi.fd_M_96m_lev182.19960820_000000_TAI.npz,1996-08-20,,NF
mdi.fd_M_96m_lev182.19960821_000000_TAI.npz,1996-08-21,B1.4,NF
mdi.fd_M_96m_lev182.19960822_000000_TAI.npz,1996-08-22,C4.5,C
mdi.fd_M_96m_lev182.19960823_000000_TAI.npz,1996-08-23,C1.2,C
mdi.fd_M_96m_lev182.19960824_000000_TAI.npz,1996-08-24,B2.9,NF
mdi.fd_M_96m_lev182.19960825_000000_TAI.npz,1996-08-25,C1.0,C
mdi.fd_M_96m_lev182.19960826_000000_TAI.npz,1996-08-26,B5.5,NF
mdi.fd_M_96m_lev182.19960827_000000_TAI.npz,1996-08-27,,NF
mdi.fd_M_96m_lev182.19960828_000000_TAI.npz,1996-08-28,C1.3,C
mdi.fd_M_96m_lev182.19960830_000000_TAI.npz,1996-08-30,B1.0,NF
mdi.fd_M_96m_lev182.19960831_000000_TAI.npz,1996-08-31,B5.1,NF
mdi.fd_M_96m_lev182.19960901_000000_TAI.npz,1996-09-01,,NF
mdi.fd_M_96m_lev182.19960906_000000_TAI.npz,1996-09-06,,NF
mdi.fd_M_96m_lev182.19960907_000000_TAI.npz,1996-09-07,,NF
mdi.fd_M_96m_lev182.19960909_000000_TAI.npz,1996-09-09,,NF
mdi.fd_M_96m_lev182.19960911_000000_TAI.npz,1996-09-11,,NF
mdi.fd_M_96m_lev182.19960913_000000_TAI.npz,1996-09-13,,NF
mdi.fd_M_96m_lev182.19960914_000000_TAI.npz,1996-09-14,,NF
mdi.fd_M_96m_lev182.19960915_000000_TAI.npz,1996-09-15,,NF
mdi.fd_M_96m_lev182.19960917_000000_TAI.npz,1996-09-17,,NF
mdi.fd_M_96m_lev182.19960918_000000_TAI.npz,1996-09-18,,NF
mdi.fd_M_96m_lev182.19960919_000000_TAI.npz,1996-09-19,,NF
mdi.fd_M_96m_lev182.19960920_000000_TAI.npz,1996-09-20,,NF
mdi.fd_M_96m_lev182.19960921_000000_TAI.npz,1996-09-21,,NF
mdi.fd_M_96m_lev182.19960922_000000_TAI.npz,1996-09-22,,NF
mdi.fd_M_96m_lev182.19960923_000000_TAI.npz,1996-09-23,,NF
mdi.fd_M_96m_lev182.19960924_000000_TAI.npz,1996-09-24,,NF
mdi.fd_M_96m_lev182.19960925_000000_TAI.npz,1996-09-25,,NF
mdi.fd_M_96m_lev182.19960926_000000_TAI.npz,1996-09-26,,NF
mdi.fd_M_96m_lev182.19960927_000000_TAI.npz,1996-09-27,,NF
mdi.fd_M_96m_lev182.19960928_000000_TAI.npz,1996-09-28,B1.6,NF
mdi.fd_M_96m_lev182.19960929_000000_TAI.npz,1996-09-29,,NF
mdi.fd_M_96m_lev182.19960930_000000_TAI.npz,1996-09-30,,NF
mdi.fd_M_96m_lev182.19970101_000000_TAI.npz,1997-01-01,,NF
mdi.fd_M_96m_lev182.19970102_000000_TAI.npz,1997-01-02,,NF
mdi.fd_M_96m_lev182.19970103_000000_TAI.npz,1997-01-03,,NF
mdi.fd_M_96m_lev182.19970104_000000_TAI.npz,1997-01-04,,NF
mdi.fd_M_96m_lev182.19970105_000000_TAI.npz,1997-01-05,A6,NF
mdi.fd_M_96m_lev182.19970106_000000_TAI.npz,1997-01-06,A7,NF
mdi.fd_M_96m_lev182.19970107_000000_TAI.npz,1997-01-07,A7,NF
mdi.fd_M_96m_lev182.19970108_000000_TAI.npz,1997-01-08,,NF
mdi.fd_M_96m_lev182.19970109_000000_TAI.npz,1997-01-09,,NF
mdi.fd_M_96m_lev182.19970110_000000_TAI.npz,1997-01-10,,NF
mdi.fd_M_96m_lev182.19970111_000000_TAI.npz,1997-01-11,,NF
mdi.fd_M_96m_lev182.19970114_000000_TAI.npz,1997-01-14,,NF
mdi.fd_M_96m_lev182.19970115_000000_TAI.npz,1997-01-15,,NF
mdi.fd_M_96m_lev182.19970116_000000_TAI.npz,1997-01-16,B1.1,NF
mdi.fd_M_96m_lev182.19970117_000000_TAI.npz,1997-01-17,,NF
mdi.fd_M_96m_lev182.19970118_000000_TAI.npz,1997-01-18,,NF
mdi.fd_M_96m_lev182.19970119_000000_TAI.npz,1997-01-19,A8.1,NF
mdi.fd_M_96m_lev182.19970120_000000_TAI.npz,1997-01-20,B4.5,NF
mdi.fd_M_96m_lev182.19970121_000000_TAI.npz,1997-01-21,,NF
mdi.fd_M_96m_lev182.19970122_000000_TAI.npz,1997-01-22,,NF
mdi.fd_M_96m_lev182.19970123_000000_TAI.npz,1997-01-23,,NF
mdi.fd_M_96m_lev182.19970124_000000_TAI.npz,1997-01-24,,NF
mdi.fd_M_96m_lev182.19970125_000000_TAI.npz,1997-01-25,,NF
mdi.fd_M_96m_lev182.19970126_000000_TAI.npz,1997-01-26,,NF
mdi.fd_M_96m_lev182.19970127_000000_TAI.npz,1997-01-27,B1.3,NF
mdi.fd_M_96m_lev182.19970128_000000_TAI.npz,1997-01-28,,NF
mdi.fd_M_96m_lev182.19970129_000000_TAI.npz,1997-01-29,B5.8,NF
mdi.fd_M_96m_lev182.19970131_000000_TAI.npz,1997-01-31,,NF
mdi.fd_M_96m_lev182.19970201_000000_TAI.npz,1997-02-01,,NF
mdi.fd_M_96m_lev182.19970202_000000_TAI.npz,1997-02-02,C2.6,C
mdi.fd_M_96m_lev182.19970203_000000_TAI.npz,1997-02-03,B7.2,NF
mdi.fd_M_96m_lev182.19970204_000000_TAI.npz,1997-02-04,C1.8,C
mdi.fd_M_96m_lev182.19970205_000000_TAI.npz,1997-02-05,,NF
mdi.fd_M_96m_lev182.19970206_000000_TAI.npz,1997-02-06,,NF
mdi.fd_M_96m_lev182.19970207_000000_TAI.npz,1997-02-07,B1.2,NF
mdi.fd_M_96m_lev182.19970208_000000_TAI.npz,1997-02-08,B3.3,NF
mdi.fd_M_96m_lev182.19970209_000000_TAI.npz,1997-02-09,,NF
mdi.fd_M_96m_lev182.19970210_000000_TAI.npz,1997-02-10,,NF
mdi.fd_M_96m_lev182.19970211_000000_TAI.npz,1997-02-11,,NF
mdi.fd_M_96m_lev182.19970212_000000_TAI.npz,1997-02-12,,NF
mdi.fd_M_96m_lev182.19970213_000000_TAI.npz,1997-02-13,,NF
mdi.fd_M_96m_lev182.19970214_000000_TAI.npz,1997-02-14,,NF
mdi.fd_M_96m_lev182.19970215_000000_TAI.npz,1997-02-15,,NF
mdi.fd_M_96m_lev182.19970216_000000_TAI.npz,1997-02-16,,NF
mdi.fd_M_96m_lev182.19970217_000000_TAI.npz,1997-02-17,,NF
mdi.fd_M_96m_lev182.19970218_000000_TAI.npz,1997-02-18,,NF
mdi.fd_M_96m_lev182.19970219_000000_TAI.npz,1997-02-19,C3.9,C
mdi.fd_M_96m_lev182.19970220_000000_TAI.npz,1997-02-20,C4.8,C
mdi.fd_M_96m_lev182.19970221_000000_TAI.npz,1997-02-21,B1.3,NF
mdi.fd_M_96m_lev182.19970222_000000_TAI.npz,1997-02-22,,NF
mdi.fd_M_96m_lev182.19970223_000000_TAI.npz,1997-02-23,B7.2,NF
mdi.fd_M_96m_lev182.19970224_000000_TAI.npz,1997-02-24,,NF
mdi.fd_M_96m_lev182.19970225_000000_TAI.npz,1997-02-25,B1.2,NF
mdi.fd_M_96m_lev182.19970226_000000_TAI.npz,1997-02-26,,NF
mdi.fd_M_96m_lev182.19970227_000000_TAI.npz,1997-02-27,,NF
mdi.fd_M_96m_lev182.19970228_000000_TAI.npz,1997-02-28,,NF
mdi.fd_M_96m_lev182.19970301_000000_TAI.npz,1997-03-01,,NF
mdi.fd_M_96m_lev182.19970302_000000_TAI.npz,1997-03-02,,NF
mdi.fd_M_96m_lev182.19970303_000000_TAI.npz,1997-03-03,,NF
mdi.fd_M_96m_lev182.19970304_000000_TAI.npz,1997-03-04,,NF
mdi.fd_M_96m_lev182.19970305_000000_TAI.npz,1997-03-05,B4.3,NF
mdi.fd_M_96m_lev182.19970306_000000_TAI.npz,1997-03-06,B8.9,NF
mdi.fd_M_96m_lev182.19970307_000000_TAI.npz,1997-03-07,,NF
mdi.fd_M_96m_lev182.19970308_000000_TAI.npz,1997-03-08,,NF
mdi.fd_M_96m_lev182.19970309_000000_TAI.npz,1997-03-09,B3.2,NF
mdi.fd_M_96m_lev182.19970310_000000_TAI.npz,1997-03-10,,NF
mdi.fd_M_96m_lev182.19970311_000000_TAI.npz,1997-03-11,,NF
mdi.fd_M_96m_lev182.19970312_000000_TAI.npz,1997-03-12,,NF
mdi.fd_M_96m_lev182.19970313_000000_TAI.npz,1997-03-13,,NF
mdi.fd_M_96m_lev182.19970314_000000_TAI.npz,1997-03-14,B3.1,NF
mdi.fd_M_96m_lev182.19970315_000000_TAI.npz,1997-03-15,,NF
mdi.fd_M_96m_lev182.19970316_000000_TAI.npz,1997-03-16,B1.8,NF
mdi.fd_M_96m_lev182.19970317_000000_TAI.npz,1997-03-17,,NF
mdi.fd_M_96m_lev182.19970318_000000_TAI.npz,1997-03-18,,NF
mdi.fd_M_96m_lev182.19970319_000000_TAI.npz,1997-03-19,,NF
mdi.fd_M_96m_lev182.19970320_000000_TAI.npz,1997-03-20,,NF
mdi.fd_M_96m_lev182.19970323_000000_TAI.npz,1997-03-23,,NF
mdi.fd_M_96m_lev182.19970325_000000_TAI.npz,1997-03-25,,NF
mdi.fd_M_96m_lev182.19970326_000000_TAI.npz,1997-03-26,,NF
mdi.fd_M_96m_lev182.19970327_000000_TAI.npz,1997-03-27,C1.0,C
mdi.fd_M_96m_lev182.19970329_000000_TAI.npz,1997-03-29,B3.4,NF
mdi.fd_M_96m_lev182.19970330_000000_TAI.npz,1997-03-30,B1.8,NF
mdi.fd_M_96m_lev182.19970331_000000_TAI.npz,1997-03-31,B2.1,NF
mdi.fd_M_96m_lev182.19970401_000000_TAI.npz,1997-04-01,C2.2,C
mdi.fd_M_96m_lev182.19970402_000000_TAI.npz,1997-04-02,C2.2,C
mdi.fd_M_96m_lev182.19970403_000000_TAI.npz,1997-04-03,C1.2,C
mdi.fd_M_96m_lev182.19970404_000000_TAI.npz,1997-04-04,B1.2,NF
mdi.fd_M_96m_lev182.19970405_000000_TAI.npz,1997-04-05,B5.6,NF
mdi.fd_M_96m_lev182.19970406_000000_TAI.npz,1997-04-06,B3.7,NF
mdi.fd_M_96m_lev182.19970408_000000_TAI.npz,1997-04-08,,NF
mdi.fd_M_96m_lev182.19970409_000000_TAI.npz,1997-04-09,C1.5,C
mdi.fd_M_96m_lev182.19970411_000000_TAI.npz,1997-04-11,,NF
mdi.fd_M_96m_lev182.19970412_000000_TAI.npz,1997-04-12,,NF
mdi.fd_M_96m_lev182.19970413_000000_TAI.npz,1997-04-13,B8.2,NF
mdi.fd_M_96m_lev182.19970414_000000_TAI.npz,1997-04-14,C1.2,C
mdi.fd_M_96m_lev182.19970416_000000_TAI.npz,1997-04-16,B3.5,NF
mdi.fd_M_96m_lev182.19970417_000000_TAI.npz,1997-04-17,B2.7,NF
mdi.fd_M_96m_lev182.19970418_000000_TAI.npz,1997-04-18,,NF
mdi.fd_M_96m_lev182.19970419_000000_TAI.npz,1997-04-19,,NF
mdi.fd_M_96m_lev182.19970420_000000_TAI.npz,1997-04-20,,NF
mdi.fd_M_96m_lev182.19970421_000000_TAI.npz,1997-04-21,,NF
mdi.fd_M_96m_lev182.19970422_000000_TAI.npz,1997-04-22,,NF
mdi.fd_M_96m_lev182.19970423_000000_TAI.npz,1997-04-23,,NF
mdi.fd_M_96m_lev182.19970424_000000_TAI.npz,1997-04-24,,NF
mdi.fd_M_96m_lev182.19970425_000000_TAI.npz,1997-04-25,,NF
mdi.fd_M_96m_lev182.19970426_000000_TAI.npz,1997-04-26,B6.8,NF
mdi.fd_M_96m_lev182.19970427_000000_TAI.npz,1997-04-27,,NF
mdi.fd_M_96m_lev182.19970428_000000_TAI.npz,1997-04-28,,NF
mdi.fd_M_96m_lev182.19970429_000000_TAI.npz,1997-04-29,,NF
mdi.fd_M_96m_lev182.19970430_000000_TAI.npz,1997-04-30,,NF
mdi.fd_M_96m_lev182.19970501_000000_TAI.npz,1997-05-01,,NF
mdi.fd_M_96m_lev182.19970502_000000_TAI.npz,1997-05-02,,NF
mdi.fd_M_96m_lev182.19970503_000000_TAI.npz,1997-05-03,B1.0,NF
mdi.fd_M_96m_lev182.19970504_000000_TAI.npz,1997-05-04,B1.7,NF
mdi.fd_M_96m_lev182.19970505_000000_TAI.npz,1997-05-05,B4.3,NF
mdi.fd_M_96m_lev182.19970506_000000_TAI.npz,1997-05-06,B1.2,NF
mdi.fd_M_96m_lev182.19970507_000000_TAI.npz,1997-05-07,B1.9,NF
mdi.fd_M_96m_lev182.19970508_000000_TAI.npz,1997-05-08,,NF
mdi.fd_M_96m_lev182.19970509_000000_TAI.npz,1997-05-09,,NF
mdi.fd_M_96m_lev182.19970510_000000_TAI.npz,1997-05-10,,NF
mdi.fd_M_96m_lev182.19970511_000000_TAI.npz,1997-05-11,,NF
mdi.fd_M_96m_lev182.19970512_000000_TAI.npz,1997-05-12,C1.3,C
mdi.fd_M_96m_lev182.19970514_000000_TAI.npz,1997-05-14,B3.7,NF
mdi.fd_M_96m_lev182.19970515_000000_TAI.npz,1997-05-15,B1.4,NF
mdi.fd_M_96m_lev182.19970516_000000_TAI.npz,1997-05-16,B2.1,NF
mdi.fd_M_96m_lev182.19970517_000000_TAI.npz,1997-05-17,,NF
mdi.fd_M_96m_lev182.19970518_000000_TAI.npz,1997-05-18,B1.9,NF
mdi.fd_M_96m_lev182.19970519_000000_TAI.npz,1997-05-19,B3.1,NF
mdi.fd_M_96m_lev182.19970520_000000_TAI.npz,1997-05-20,C4.2,C
mdi.fd_M_96m_lev182.19970521_000000_TAI.npz,1997-05-21,M1.3,M
mdi.fd_M_96m_lev182.19970523_000000_TAI.npz,1997-05-23,B3.5,NF
mdi.fd_M_96m_lev182.19970525_000000_TAI.npz,1997-05-25,B6.5,NF
mdi.fd_M_96m_lev182.19970527_000000_TAI.npz,1997-05-27,C4.6,C
mdi.fd_M_96m_lev182.19970528_000000_TAI.npz,1997-05-28,C1.2,C
mdi.fd_M_96m_lev182.19970529_000000_TAI.npz,1997-05-29,,NF
mdi.fd_M_96m_lev182.19970530_000000_TAI.npz,1997-05-30,,NF
mdi.fd_M_96m_lev182.19970531_000000_TAI.npz,1997-05-31,B1.7,NF
mdi.fd_M_96m_lev182.19970603_000000_TAI.npz,1997-06-03,B1.3,NF
mdi.fd_M_96m_lev182.19970604_000000_TAI.npz,1997-06-04,,NF
mdi.fd_M_96m_lev182.19970605_000000_TAI.npz,1997-06-05,,NF
mdi.fd_M_96m_lev182.19970606_000000_TAI.npz,1997-06-06,,NF
mdi.fd_M_96m_lev182.19970610_000000_TAI.npz,1997-06-10,,NF
mdi.fd_M_96m_lev182.19970611_000000_TAI.npz,1997-06-11,,NF
mdi.fd_M_96m_lev182.19970612_000000_TAI.npz,1997-06-12,,NF
mdi.fd_M_96m_lev182.19970613_000000_TAI.npz,1997-06-13,B3.1,NF
mdi.fd_M_96m_lev182.19970614_000000_TAI.npz,1997-06-14,,NF
mdi.fd_M_96m_lev182.19970615_000000_TAI.npz,1997-06-15,,NF
mdi.fd_M_96m_lev182.19970616_000000_TAI.npz,1997-06-16,,NF
mdi.fd_M_96m_lev182.19970618_000000_TAI.npz,1997-06-18,,NF
mdi.fd_M_96m_lev182.19970619_000000_TAI.npz,1997-06-19,,NF
mdi.fd_M_96m_lev182.19970620_000000_TAI.npz,1997-06-20,,NF
mdi.fd_M_96m_lev182.19970621_000000_TAI.npz,1997-06-21,,NF
mdi.fd_M_96m_lev182.19970622_000000_TAI.npz,1997-06-22,,NF
mdi.fd_M_96m_lev182.19970623_000000_TAI.npz,1997-06-23,,NF
mdi.fd_M_96m_lev182.19970624_000000_TAI.npz,1997-06-24,,NF
mdi.fd_M_96m_lev182.19970625_000000_TAI.npz,1997-06-25,,NF
mdi.fd_M_96m_lev182.19970626_000000_TAI.npz,1997-06-26,,NF
mdi.fd_M_96m_lev182.19970627_000000_TAI.npz,1997-06-27,,NF
mdi.fd_M_96m_lev182.19970628_000000_TAI.npz,1997-06-28,B2.1,NF
mdi.fd_M_96m_lev182.19970629_000000_TAI.npz,1997-06-29,C1.1,C
mdi.fd_M_96m_lev182.19970630_000000_TAI.npz,1997-06-30,B2.8,NF
mdi.fd_M_96m_lev182.19970701_000000_TAI.npz,1997-07-01,,NF
mdi.fd_M_96m_lev182.19970702_000000_TAI.npz,1997-07-02,,NF
mdi.fd_M_96m_lev182.19970703_000000_TAI.npz,1997-07-03,,NF
mdi.fd_M_96m_lev182.19970704_000000_TAI.npz,1997-07-04,A3.8,NF
mdi.fd_M_96m_lev182.19970705_000000_TAI.npz,1997-07-05,,NF
mdi.fd_M_96m_lev182.19970706_000000_TAI.npz,1997-07-06,,NF
mdi.fd_M_96m_lev182.19970707_000000_TAI.npz,1997-07-07,,NF
mdi.fd_M_96m_lev182.19970708_000000_TAI.npz,1997-07-08,,NF
mdi.fd_M_96m_lev182.19970709_000000_TAI.npz,1997-07-09,,NF
mdi.fd_M_96m_lev182.19970710_000000_TAI.npz,1997-07-10,,NF
mdi.fd_M_96m_lev182.19970711_000000_TAI.npz,1997-07-11,,NF
mdi.fd_M_96m_lev182.19970712_000000_TAI.npz,1997-07-12,C1.2,C
mdi.fd_M_96m_lev182.19970713_000000_TAI.npz,1997-07-13,,NF
mdi.fd_M_96m_lev182.19970714_000000_TAI.npz,1997-07-14,,NF
mdi.fd_M_96m_lev182.19970715_000000_TAI.npz,1997-07-15,,NF
mdi.fd_M_96m_lev182.19970716_000000_TAI.npz,1997-07-16,B1.2,NF
mdi.fd_M_96m_lev182.19970717_000000_TAI.npz,1997-07-17,,NF
mdi.fd_M_96m_lev182.19970718_000000_TAI.npz,1997-07-18,,NF
mdi.fd_M_96m_lev182.19970719_000000_TAI.npz,1997-07-19,,NF
mdi.fd_M_96m_lev182.19970720_000000_TAI.npz,1997-07-20,B1.0,NF
mdi.fd_M_96m_lev182.19970721_000000_TAI.npz,1997-07-21,B1.8,NF
mdi.fd_M_96m_lev182.19970722_000000_TAI.npz,1997-07-22,,NF
mdi.fd_M_96m_lev182.19970723_000000_TAI.npz,1997-07-23,B2.4,NF
mdi.fd_M_96m_lev182.19970724_000000_TAI.npz,1997-07-24,B9.1,NF
mdi.fd_M_96m_lev182.19970725_000000_TAI.npz,1997-07-25,C1.2,C
mdi.fd_M_96m_lev182.19970726_000000_TAI.npz,1997-07-26,B4.3,NF
mdi.fd_M_96m_lev182.19970727_000000_TAI.npz,1997-07-27,B9.5,NF
mdi.fd_M_96m_lev182.19970728_000000_TAI.npz,1997-07-28,B2.2,NF
mdi.fd_M_96m_lev182.19970729_000000_TAI.npz,1997-07-29,B5.1,NF
mdi.fd_M_96m_lev182.19970730_000000_TAI.npz,1997-07-30,,NF
mdi.fd_M_96m_lev182.19970801_000000_TAI.npz,1997-08-01,B1.8,NF
mdi.fd_M_96m_lev182.19970802_000000_TAI.npz,1997-08-02,,NF
mdi.fd_M_96m_lev182.19970803_000000_TAI.npz,1997-08-03,,NF
mdi.fd_M_96m_lev182.19970804_000000_TAI.npz,1997-08-04,,NF
mdi.fd_M_96m_lev182.19970805_000000_TAI.npz,1997-08-05,,NF
mdi.fd_M_96m_lev182.19970806_000000_TAI.npz,1997-08-06,B4.9,NF
mdi.fd_M_96m_lev182.19970807_000000_TAI.npz,1997-08-07,B3.5,NF
mdi.fd_M_96m_lev182.19970808_000000_TAI.npz,1997-08-08,B1.8,NF
mdi.fd_M_96m_lev182.19970809_000000_TAI.npz,1997-08-09,C8.5,C
mdi.fd_M_96m_lev182.19970810_000000_TAI.npz,1997-08-10,C5.5,C
mdi.fd_M_96m_lev182.19970811_000000_TAI.npz,1997-08-11,C1.1,C
mdi.fd_M_96m_lev182.19970812_000000_TAI.npz,1997-08-12,B3.6,NF
mdi.fd_M_96m_lev182.19970813_000000_TAI.npz,1997-08-13,B3.3,NF
mdi.fd_M_96m_lev182.19970814_000000_TAI.npz,1997-08-14,C1.0,C
mdi.fd_M_96m_lev182.19970815_000000_TAI.npz,1997-08-15,B1.4,NF
mdi.fd_M_96m_lev182.19970816_000000_TAI.npz,1997-08-16,B1.4,NF
mdi.fd_M_96m_lev182.19970817_000000_TAI.npz,1997-08-17,B3.9,NF
mdi.fd_M_96m_lev182.19970818_000000_TAI.npz,1997-08-18,B1.1,NF
mdi.fd_M_96m_lev182.19970819_000000_TAI.npz,1997-08-19,B3.6,NF
mdi.fd_M_96m_lev182.19970820_000000_TAI.npz,1997-08-20,,NF
mdi.fd_M_96m_lev182.19970821_000000_TAI.npz,1997-08-21,B3.6,NF
mdi.fd_M_96m_lev182.19970822_000000_TAI.npz,1997-08-22,,NF
mdi.fd_M_96m_lev182.19970823_000000_TAI.npz,1997-08-23,B3.1,NF
mdi.fd_M_96m_lev182.19970824_000000_TAI.npz,1997-08-24,B3.5,NF
mdi.fd_M_96m_lev182.19970825_000000_TAI.npz,1997-08-25,C1.2,C
mdi.fd_M_96m_lev182.19970826_000000_TAI.npz,1997-08-26,C4.5,C
mdi.fd_M_96m_lev182.19970827_000000_TAI.npz,1997-08-27,B1.9,NF
mdi.fd_M_96m_lev182.19970828_000000_TAI.npz,1997-08-28,B9.3,NF
mdi.fd_M_96m_lev182.19970829_000000_TAI.npz,1997-08-29,M1.4,M
mdi.fd_M_96m_lev182.19970830_000000_TAI.npz,1997-08-30,C1.9,C
mdi.fd_M_96m_lev182.19970831_000000_TAI.npz,1997-08-31,C2.7,C
mdi.fd_M_96m_lev182.19970901_000000_TAI.npz,1997-09-01,C2.2,C
mdi.fd_M_96m_lev182.19970902_000000_TAI.npz,1997-09-02,M1.0,M
mdi.fd_M_96m_lev182.19970903_000000_TAI.npz,1997-09-03,C2.7,C
mdi.fd_M_96m_lev182.19970904_000000_TAI.npz,1997-09-04,B7.4,NF
mdi.fd_M_96m_lev182.19970905_000000_TAI.npz,1997-09-05,C1.7,C
mdi.fd_M_96m_lev182.19970906_000000_TAI.npz,1997-09-06,C1.1,C
mdi.fd_M_96m_lev182.19970907_000000_TAI.npz,1997-09-07,C3.1,C
mdi.fd_M_96m_lev182.19970908_000000_TAI.npz,1997-09-08,M1.0,M
mdi.fd_M_96m_lev182.19970909_000000_TAI.npz,1997-09-09,C9.7,C
mdi.fd_M_96m_lev182.19970910_000000_TAI.npz,1997-09-10,C1.0,C
mdi.fd_M_96m_lev182.19970911_000000_TAI.npz,1997-09-11,B5.2,NF
mdi.fd_M_96m_lev182.19970912_000000_TAI.npz,1997-09-12,C1.1,C
mdi.fd_M_96m_lev182.19970913_000000_TAI.npz,1997-09-13,C2.4,C
mdi.fd_M_96m_lev182.19970914_000000_TAI.npz,1997-09-14,C2.8,C
mdi.fd_M_96m_lev182.19970915_000000_TAI.npz,1997-09-15,C4.4,C
